"variable","level","female","male","compare","missing_female","missing_male"
"Sample size",NA,"n = 6299","n = 6299",NA,"0.0%","0.0%"
"age",NA,"40.9 (11.5)","46.4 (12.0)","0.94","0.0%","0.0%"
"bmi",NA,"27.0 (5.2)","25.0 (4.3)","0.21","0.0%","0.0%"
"sbp",NA,"118.2 (16.3)","127.2 (15.8)","0.22","0.0%","0.0%"
"dbp",NA,"78.4 (9.9)","82.8 (10.1)","0.13","0.0%","0.0%"
"waist_cm",NA,"85.4 (11.0)","89.8 (10.8)","0.22","0.0%","0.0%"
"fpg",NA,"98.9 (12.6)","99.4 (13.3)","0.16","0.0%","0.0%"
"smk_overall",NA,"3.3%","38.7%","3.58 (2.63-4.87)","0.0%","0.0%"
"alc_overall",NA,"0.2%","39.2%","NA","0.0%","0.0%"
"famhx_htn",NA,"20.4%","18.1%","2.21 (1.91-2.55)","0.0%","0.0%"
"famhx_dm",NA,"29.4%","27.2%","2.11 (1.87-2.38)","0.0%","0.0%"
"famhx_cvd",NA,"7.3%","6.7%","2.33 (1.72-3.14)","0.0%","0.0%"
"chd",NA,"1.7%","4.2%","3.59 (1.93-6.68)","0.0%","0.0%"
"cva",NA,"0.5%","0.9%","3.55 (0.22-57.12)","0.0%","0.0%"
"ckd",NA,"0.4%","0.4%","12.83 (0.75-219.19)","0.0%","0.0%"
"diabetes",NA,"20.5%","24.8%","2.68 (2.33-3.07)","0.0%","0.0%"
"overweight",NA,"63.2%","46.9%","1.98 (1.77-2.21)","0.0%","0.0%"
"hypertension",NA,"25.6%","37.9%","2.05 (1.80-2.32)","0.0%","0.0%"
"high_tg",NA,"24.9%","38.5%","1.12 (0.98-1.29)","0.0%","0.0%"
"edu_category","College and above","18.1%","20.5%","< 0.001","0.0%","0.0%"
"","High school to secondary","61.4%","68.1%","","",""
"","Up to primary schooling","20.5%","11.4%","","",""
"employ_category","Not in the labor force, student/housewives","83.0%","0.5%","< 0.001","0.1%","1.9%"
"","Employed in a manual profession","11.4%","64.6%","","",""
"","Employed in a non-manual professional","4.6%","21.7%","","",""
"","Not in the labor force, retired","0.6%","8.9%","","",""
"","Unemployed","0.4%","4.4%","","",""
"bmi_category","Underweight or normal weight","36.8%","53.1%","< 0.001","0.0%","0.0%"
"","Overweight","36.9%","35.4%","","",""
"","Obese","26.3%","11.5%","","",""
"morbidity_category","None","63.8%","49.5%","< 0.001","0.0%","0.0%"
"","Single morbidity","24.9%","34.7%","","",""
"","Multimorbidity","11.3%","15.7%","","",""
