"","variable","n","min","q25","median","mean","q75","max","IQR","lower_bound","upper_bound"
"1","sbp1",56837,61,115,127,129.789608881538,142,243,27,88,169
"2","sbp2",56829,66,114,125,127.796723503845,139,237,25,89,164
"3","sbp3",9552,66,117,130,132.869346733668,146,228,29,88,175
"4","dbp1",56838,26,75,82,83.3501002850206,91,190,16,59,107
"5","dbp2",56828,33,74,81,82.3580629267263,89,190,15,59,104
"6","dbp3",9491,20,76,83,84.4470551048362,92,180,16,60,108
"7","heightcm",105333,0,151,157.199996948242,157.935674205092,164.800003051758,196.399993896484,13.8000030517578,137.199996948242,178.600006103516
"8","weightkg",53667,26.2999992370605,56.1,64.8000030517578,65.7068282172641,74.0999984741211,175.1,17.9999984741211,38.1000015258789,92.0999969482422
"9","bmi",52380,11.7726941223199,22.8481101717139,26.0395208824419,Inf,29.4293093994923,Inf,6.58119922777841,16.2669109439355,36.0105086272708
"10","waistcm",56394,31,80.9,89,89.0470488884475,97.2,190.399993896484,16.3,64.6,113.5
"11","hipcm",56383,33.6,90,96.3000030517578,97.1852899961832,103.400001525879,193.100006103516,13.4000015258789,76.5999984741211,116.800003051758
"12","fpg",40170,28,91,99,114.695748069142,114,759.9,23,68,137
"13","fpg30",16805,49.2999992370605,131,155,160.814513549623,181.2,613,50.2,80.8,231.4
"14","fpg120",16734,25.1,90,107,121.744394643626,131,732,41,49,172
"15","chol",40168,52,156,181,183.485754826201,208,532,52,104,260
"16","tg",40169,16.1,92,125.599998474121,150.975712611242,177,2120,85,7,262
"17","hdl",40169,6.8,35,41,42.6073987424494,48,147,13,22,61
"18","ldl",38758,3.3,89,110,111.708920991273,132,373,43,46,175
"19","vldl",38886,1.7,18,25,28.2592598866399,34.4,241.4,16.4,1.6,50.8
"20","hba1c",39925,2.79999995231628,5.4,5.7,6.24210444608651,6.4,19.1000003814697,1,4.4,7.4
"21","serumcreatinine",40157,0.1,0.6,0.7,0.74851383367678,0.84,12.2,0.24,0.36,1.08
