"variable","level","female","male","compare","missing_female","missing_male"
"age",NA,"40.1 (10.8)","45.6 (11.2)","0.93","0.0%","0.0%"
"bmi",NA,"27.1 (4.9)","25.1 (4.1)","0.23","0.0%","0.0%"
"sbp",NA,"118.8 (18.0)","128.8 (18.3)","0.23","1.3%","3.4%"
"dbp",NA,"78.6 (10.9)","83.8 (11.7)","0.15","1.3%","3.4%"
"waist_cm",NA,"85.1 (11.9)","90.7 (11.8)","0.24","1.7%","3.7%"
"smk_curr",NA,"141 (2.7%)","1944 (37.7%)","0.05","0.0%","0.0%"
"alc_curr",NA,"11 (0.2%)","1989 (38.6%)","0.00","0.0%","0.0%"
"famhx_htn",NA,"1093 (21.2%)","975 (18.9%)","1.15","0.0%","0.0%"
"famhx_dm",NA,"1545 (30.0%)","1447 (28.1%)","1.10","0.0%","0.0%"
"famhx_cvd",NA,"370 (7.2%)","367 (7.1%)","1.01","0.0%","0.0%"
"chd",NA,"73 (1.4%)","190 (3.7%)","0.37","0.2%","0.3%"
"cva",NA,"23 (0.4%)","42 (0.8%)","0.54","0.2%","0.3%"
"ckd",NA,"14 (0.3%)","17 (0.3%)","0.82","0.2%","0.4%"
"diabetes",NA,"1065 (20.7%)","1349 (26.2%)","0.73","0.0%","0.0%"
"overweight",NA,"3086 (59.9%)","2264 (43.9%)","1.91","6.8%","9.4%"
"hypertension",NA,"1245 (24.2%)","1917 (37.2%)","0.54","0.0%","0.0%"
"high_tg",NA,"1293 (25.1%)","2153 (41.8%)","0.47","0.0%","0.0%"
"edu_category","College and above","1031 (20.0%)","1137 (22.1%)","< 0.001","0.0%","0.0%"
"edu_category","High school to secondary","3143 (61.0%)","3473 (67.4%)","","",""
"edu_category","Up to primary schooling","978 (19.0%)","540 (10.5%)","","",""
"edu_category",NA,"0 (0.0%)","2 (0.0%)","","",""
"employ_category","Employed in a manual profession","574 (11.1%)","3296 (64.0%)","< 0.001","0.1%","2.0%"
"employ_category","Employed in a non-manual professional","263 (5.1%)","1164 (22.6%)","","",""
"employ_category","Not in the labor force, retired","28 (0.5%)","384 (7.5%)","","",""
"employ_category","Not in the labor force, student/housewives","4264 (82.8%)","23 (0.4%)","","",""
"employ_category","Unemployed","18 (0.3%)","182 (3.5%)","","",""
"employ_category",NA,"5 (0.1%)","103 (2.0%)","","",""
"bmi_category","Obese","1247 (24.2%)","527 (10.2%)","< 0.001","6.8%","9.4%"
"bmi_category","Overweight","1839 (35.7%)","1737 (33.7%)","","",""
"bmi_category","Underweight or normal weight","1714 (33.3%)","2403 (46.6%)","","",""
"bmi_category",NA,"352 (6.8%)","485 (9.4%)","","",""
"morbidity_category","Multimorbidity","544 (10.6%)","809 (15.7%)","< 0.001","0.0%","0.0%"
"morbidity_category","None","3319 (64.4%)","2529 (49.1%)","","",""
"morbidity_category","Single morbidity","1289 (25.0%)","1814 (35.2%)","","",""
